Timestamp,Price,Demand,Charge Rate

2023-10-01 00:00:00,50.,439690,0.82
2023-10-01 01:00:00,45.8,416383,0.86
2023-10-01 02:00:00,42.6,397790,0.91
2023-10-01 03:00:00,48.3,382263,0.94
2023-10-01 04:00:00,53.7,371038,0.97
2023-10-01 05:00:00,60.1,363549,0.99
2023-10-01 06:00:00,68.5,360078,1
2023-10-01 07:00:00,75.2,360983,0.99
2023-10-01 08:00:00,80.6,365398,0.98
2023-10-01 09:00:00,75.9,374985,0.96
2023-10-01 10:00:00,72.3,390569,0.92
2023-10-01 11:00:00,68.8,409743,0.88
2023-10-01 12:00:00,65.2,431158,0.84
2023-10-01 13:00:00,62.7,455392,0.79
2023-10-01 14:00:00,60.3,475943,0.76
2023-10-01 15:00:00,58.9,492673,0.73
2023-10-01 16:00:00,57.5,506225,0.71
2023-10-01 17:00:00,55.8,518854,0.69
2023-10-01 18:00:00,54.3,527178,0.68
